freqHz,wcetMs,phaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,tickCount,worstCasePathMs,criticalPathThroughCnnMs,criticalPathExecutionThroughCnnMs
425,3/4,83/5,168/85,154/85,56/85,18,102000,123,98,1724/375
425,1,83/5,168/85,154/85,56/85,18,102000,123,98,7271/1500
425,5/4,83/5,168/85,154/85,56/85,18,102000,123,98,3823/750
425,3/2,83/5,168/85,154/85,56/85,18,102000,123,98,8021/1500
425,7/4,83/5,168/85,154/85,56/85,18,102000,123,98,2099/375
425,2,83/5,168/85,154/85,56/85,18,102000,123,98,8771/1500
575,0,83/5,168/115,1,56/115,18,138000,123,98,5771/1500
575,1/4,83/5,168/115,1,56/115,18,138000,123,98,3073/750
575,1/2,83/5,168/115,1,56/115,18,138000,123,98,6521/1500
575,3/4,83/5,168/115,1,56/115,18,138000,123,98,1724/375
575,1,83/5,168/115,1,56/115,18,138000,123,98,7271/1500
475,0,83/5,168/95,1,56/95,18,114000,123,98,5771/1500
475,1/4,83/5,168/95,1,56/95,18,114000,123,98,3073/750
475,1/2,83/5,168/95,1,56/95,18,114000,123,98,6521/1500
475,3/4,83/5,168/95,1,56/95,18,114000,123,98,1724/375
475,1,83/5,168/95,1,56/95,18,114000,123,98,7271/1500
725,0,83/5,168/145,154/145,56/145,18,174000,123,98,5771/1500
725,1/4,83/5,168/145,154/145,56/145,18,174000,123,98,3073/750
725,1/2,83/5,168/145,154/145,56/145,18,174000,123,98,6521/1500
725,3/4,83/5,168/145,154/145,56/145,18,174000,123,98,1724/375
725,1,83/5,168/145,154/145,56/145,18,174000,123,98,7271/1500
775,0,83/5,168/155,1,56/155,18,186000,123,98,5771/1500
775,1/4,83/5,168/155,1,56/155,18,186000,123,98,3073/750
775,1/2,83/5,168/155,1,56/155,18,186000,123,98,6521/1500
775,3/4,83/5,168/155,1,56/155,18,186000,123,98,1724/375
775,1,83/5,168/155,1,56/155,18,186000,123,98,7271/1500
925,0,83/5,168/185,1,56/185,18,222000,123,98,5771/1500
925,1/4,83/5,168/185,1,56/185,18,222000,123,98,3073/750
925,1/2,83/5,168/185,1,56/185,18,222000,123,98,6521/1500
925,3/4,83/5,168/185,1,56/185,18,222000,123,98,1724/375
